checkpoint_path,distraction_set,env_id,control_mode,include_depth,num_eval_episodes,max_episode_steps,message,num_sucessful_episodes,success_percent
checkpoints/best_eval_success_once__BIMANUAL_JAN30.pt,mo_texture,DualArmPickBottle-v1,pd_joint_pos,False,100,500,results,1.0,1.0
checkpoints/best_eval_success_once__BIMANUAL_JAN30.pt,ro_texture,DualArmPickBottle-v1,pd_joint_pos,False,100,500,placeholder,-1.0,-1.0
checkpoints/best_eval_success_once__BIMANUAL_JAN30.pt,ro_color,DualArmPickBottle-v1,pd_joint_pos,False,100,500,results,0.0,0.0
checkpoints/best_eval_success_once__BIMANUAL_JAN30.pt,table_color,DualArmPickBottle-v1,pd_joint_pos,False,100,500,placeholder,-1.0,-1.0
checkpoints/best_eval_success_once__BIMANUAL_JAN30.pt,ro_texture,DualArmPickBottle-v1,pd_joint_pos,False,100,500,results,0.0,0.0
checkpoints/best_eval_success_once__BIMANUAL_JAN30.pt,table_texture,DualArmPickBottle-v1,pd_joint_pos,False,100,500,placeholder,-1.0,-1.0
checkpoints/best_eval_success_once__BIMANUAL_JAN30.pt,table_color,DualArmPickBottle-v1,pd_joint_pos,False,100,500,results,0.0,0.0
checkpoints/best_eval_success_once__BIMANUAL_JAN30.pt,camera_pose,DualArmPickBottle-v1,pd_joint_pos,False,100,500,placeholder,-1.0,-1.0
checkpoints/best_eval_success_once__BIMANUAL_JAN30.pt,table_texture,DualArmPickBottle-v1,pd_joint_pos,False,100,500,results,0.0,0.0
checkpoints/best_eval_success_once__BIMANUAL_JAN30.pt,light_color,DualArmPickBottle-v1,pd_joint_pos,False,100,500,placeholder,-1.0,-1.0
checkpoints/best_eval_success_once__BIMANUAL_JAN30.pt,mo_size,DualArmPickBottle-v1,pd_joint_pos,False,100,500,placeholder,-1.0,-1.0
checkpoints/best_eval_success_once__BIMANUAL_JAN30.pt,camera_pose,DualArmPickBottle-v1,pd_joint_pos,False,100,500,results,0.0,0.0
checkpoints/best_eval_success_once__BIMANUAL_JAN30.pt,ro_size,DualArmPickBottle-v1,pd_joint_pos,False,100,500,placeholder,-1.0,-1.0
checkpoints/best_eval_success_once__BIMANUAL_JAN30.pt,mo_size,DualArmPickBottle-v1,pd_joint_pos,False,100,500,results,0.0,0.0
checkpoints/best_eval_success_once__BIMANUAL_JAN30.pt,background_texture,DualArmPickBottle-v1,pd_joint_pos,False,100,500,placeholder,-1.0,-1.0
checkpoints/best_eval_success_once__BIMANUAL_JAN30.pt,ro_size,DualArmPickBottle-v1,pd_joint_pos,False,100,500,results,0.0,0.0
checkpoints/best_eval_success_once__BIMANUAL_JAN30.pt,background_color,DualArmPickBottle-v1,pd_joint_pos,False,100,500,placeholder,-1.0,-1.0
checkpoints/best_eval_success_once__BIMANUAL_JAN30.pt,background_texture,DualArmPickBottle-v1,pd_joint_pos,False,100,500,results,1.0,1.0
checkpoints/best_eval_success_once__BIMANUAL_JAN30.pt,mo_mass,DualArmPickBottle-v1,pd_joint_pos,False,100,500,placeholder,-1.0,-1.0
checkpoints/best_eval_success_once__BIMANUAL_JAN30.pt,background_color,DualArmPickBottle-v1,pd_joint_pos,False,100,500,results,0.0,0.0
checkpoints/best_eval_success_once__BIMANUAL_JAN30.pt,none,DualArmLiftPot-v1,pd_joint_pos,False,100,500,placeholder,-1.0,-1.0
checkpoints/best_eval_success_once__BIMANUAL_JAN30.pt,mo_mass,DualArmPickBottle-v1,pd_joint_pos,False,100,500,results,0.0,0.0
checkpoints/best_eval_success_once__BIMANUAL_JAN30.pt,all,DualArmLiftPot-v1,pd_joint_pos,False,100,500,placeholder,-1.0,-1.0
checkpoints/best_eval_success_once__BIMANUAL_JAN30.pt,distractor_object,DualArmLiftPot-v1,pd_joint_pos,False,100,500,placeholder,-1.0,-1.0
checkpoints/best_eval_success_once__BIMANUAL_JAN30.pt,mo_color,DualArmLiftPot-v1,pd_joint_pos,False,100,500,placeholder,-1.0,-1.0
checkpoints/best_eval_success_once__BIMANUAL_JAN30.pt,none,DualArmLiftPot-v1,pd_joint_pos,False,100,500,results,1.0,1.0
checkpoints/best_eval_success_once__BIMANUAL_JAN30.pt,mo_texture,DualArmLiftPot-v1,pd_joint_pos,False,100,500,placeholder,-1.0,-1.0
checkpoints/best_eval_success_once__BIMANUAL_JAN30.pt,mo_color,DualArmLiftPot-v1,pd_joint_pos,False,100,500,results,7.0,7.0
checkpoints/best_eval_success_once__BIMANUAL_JAN30.pt,ro_color,DualArmLiftPot-v1,pd_joint_pos,False,100,500,placeholder,-1.0,-1.0
checkpoints/best_eval_success_once__BIMANUAL_JAN30.pt,mo_texture,DualArmLiftPot-v1,pd_joint_pos,False,100,500,results,4.0,4.0
checkpoints/best_eval_success_once__BIMANUAL_JAN30.pt,ro_texture,DualArmLiftPot-v1,pd_joint_pos,False,100,500,placeholder,-1.0,-1.0
checkpoints/best_eval_success_once__BIMANUAL_JAN30.pt,ro_color,DualArmLiftPot-v1,pd_joint_pos,False,100,500,results,1.0,1.0
checkpoints/best_eval_success_once__BIMANUAL_JAN30.pt,table_color,DualArmLiftPot-v1,pd_joint_pos,False,100,500,placeholder,-1.0,-1.0
checkpoints/best_eval_success_once__BIMANUAL_JAN30.pt,ro_texture,DualArmLiftPot-v1,pd_joint_pos,False,100,500,results,1.0,1.0
checkpoints/best_eval_success_once__BIMANUAL_JAN30.pt,table_texture,DualArmLiftPot-v1,pd_joint_pos,False,100,500,placeholder,-1.0,-1.0
checkpoints/best_eval_success_once__BIMANUAL_JAN30.pt,table_color,DualArmLiftPot-v1,pd_joint_pos,False,100,500,results,1.0,1.0
checkpoints/best_eval_success_once__BIMANUAL_JAN30.pt,camera_pose,DualArmLiftPot-v1,pd_joint_pos,False,100,500,placeholder,-1.0,-1.0
checkpoints/best_eval_success_once__BIMANUAL_JAN30.pt,table_texture,DualArmLiftPot-v1,pd_joint_pos,False,100,500,results,1.0,1.0
checkpoints/best_eval_success_once__BIMANUAL_JAN30.pt,light_color,DualArmLiftPot-v1,pd_joint_pos,False,100,500,placeholder,-1.0,-1.0
checkpoints/best_eval_success_once__BIMANUAL_JAN30.pt,mo_size,DualArmLiftPot-v1,pd_joint_pos,False,100,500,placeholder,-1.0,-1.0
checkpoints/best_eval_success_once__BIMANUAL_JAN30.pt,camera_pose,DualArmLiftPot-v1,pd_joint_pos,False,100,500,results,0.0,0.0
checkpoints/best_eval_success_once__BIMANUAL_JAN30.pt,ro_size,DualArmLiftPot-v1,pd_joint_pos,False,100,500,placeholder,-1.0,-1.0
checkpoints/best_eval_success_once__BIMANUAL_JAN30.pt,mo_size,DualArmLiftPot-v1,pd_joint_pos,False,100,500,results,6.0,6.0
checkpoints/best_eval_success_once__BIMANUAL_JAN30.pt,background_texture,DualArmLiftPot-v1,pd_joint_pos,False,100,500,placeholder,-1.0,-1.0
checkpoints/best_eval_success_once__BIMANUAL_JAN30.pt,ro_size,DualArmLiftPot-v1,pd_joint_pos,False,100,500,results,1.0,1.0
checkpoints/best_eval_success_once__BIMANUAL_JAN30.pt,background_color,DualArmLiftPot-v1,pd_joint_pos,False,100,500,placeholder,-1.0,-1.0
checkpoints/best_eval_success_once__BIMANUAL_JAN30.pt,background_texture,DualArmLiftPot-v1,pd_joint_pos,False,100,500,results,13.0,13.0
checkpoints/best_eval_success_once__BIMANUAL_JAN30.pt,mo_mass,DualArmLiftPot-v1,pd_joint_pos,False,100,500,placeholder,-1.0,-1.0
checkpoints/best_eval_success_once__BIMANUAL_JAN30.pt,background_color,DualArmLiftPot-v1,pd_joint_pos,False,100,500,results,7.0,7.0
checkpoints/best_eval_success_once__BIMANUAL_JAN30.pt,none,DualArmLiftTray-v1,pd_joint_pos,False,100,500,placeholder,-1.0,-1.0
checkpoints/best_eval_success_once__BIMANUAL_JAN30.pt,mo_mass,DualArmLiftPot-v1,pd_joint_pos,False,100,500,results,0.0,0.0
checkpoints/best_eval_success_once__BIMANUAL_JAN30.pt,all,DualArmLiftTray-v1,pd_joint_pos,False,100,500,placeholder,-1.0,-1.0
checkpoints/best_eval_success_once__BIMANUAL_JAN30.pt,distractor_object,DualArmLiftTray-v1,pd_joint_pos,False,100,500,placeholder,-1.0,-1.0
checkpoints/best_eval_success_once__BIMANUAL_JAN30.pt,mo_color,DualArmLiftTray-v1,pd_joint_pos,False,100,500,placeholder,-1.0,-1.0
checkpoints/best_eval_success_once__BIMANUAL_JAN30.pt,none,DualArmLiftTray-v1,pd_joint_pos,False,100,500,results,0.0,0.0
checkpoints/best_eval_success_once__BIMANUAL_JAN30.pt,mo_texture,DualArmLiftTray-v1,pd_joint_pos,False,100,500,placeholder,-1.0,-1.0
checkpoints/best_eval_success_once__BIMANUAL_JAN30.pt,mo_color,DualArmLiftTray-v1,pd_joint_pos,False,100,500,results,0.0,0.0
checkpoints/best_eval_success_once__BIMANUAL_JAN30.pt,ro_color,DualArmLiftTray-v1,pd_joint_pos,False,100,500,placeholder,-1.0,-1.0
checkpoints/best_eval_success_once__BIMANUAL_JAN30.pt,mo_texture,DualArmLiftTray-v1,pd_joint_pos,False,100,500,results,0.0,0.0
checkpoints/best_eval_success_once__BIMANUAL_JAN30.pt,ro_texture,DualArmLiftTray-v1,pd_joint_pos,False,100,500,placeholder,-1.0,-1.0
checkpoints/best_eval_success_once__BIMANUAL_JAN30.pt,ro_color,DualArmLiftTray-v1,pd_joint_pos,False,100,500,results,0.0,0.0
checkpoints/best_eval_success_once__BIMANUAL_JAN30.pt,table_color,DualArmLiftTray-v1,pd_joint_pos,False,100,500,placeholder,-1.0,-1.0
checkpoints/best_eval_success_once__BIMANUAL_JAN30.pt,ro_texture,DualArmLiftTray-v1,pd_joint_pos,False,100,500,results,0.0,0.0
checkpoints/best_eval_success_once__BIMANUAL_JAN30.pt,table_texture,DualArmLiftTray-v1,pd_joint_pos,False,100,500,placeholder,-1.0,-1.0
checkpoints/best_eval_success_once__BIMANUAL_JAN30.pt,table_color,DualArmLiftTray-v1,pd_joint_pos,False,100,500,results,0.0,0.0
checkpoints/best_eval_success_once__BIMANUAL_JAN30.pt,camera_pose,DualArmLiftTray-v1,pd_joint_pos,False,100,500,placeholder,-1.0,-1.0
checkpoints/best_eval_success_once__BIMANUAL_JAN30.pt,table_texture,DualArmLiftTray-v1,pd_joint_pos,False,100,500,results,0.0,0.0
checkpoints/best_eval_success_once__BIMANUAL_JAN30.pt,light_color,DualArmLiftTray-v1,pd_joint_pos,False,100,500,placeholder,-1.0,-1.0
checkpoints/best_eval_success_once__BIMANUAL_JAN30.pt,mo_size,DualArmLiftTray-v1,pd_joint_pos,False,100,500,placeholder,-1.0,-1.0
checkpoints/best_eval_success_once__BIMANUAL_JAN30.pt,camera_pose,DualArmLiftTray-v1,pd_joint_pos,False,100,500,results,0.0,0.0
checkpoints/best_eval_success_once__BIMANUAL_JAN30.pt,ro_size,DualArmLiftTray-v1,pd_joint_pos,False,100,500,placeholder,-1.0,-1.0
checkpoints/best_eval_success_once__BIMANUAL_JAN30.pt,mo_size,DualArmLiftTray-v1,pd_joint_pos,False,100,500,results,0.0,0.0
checkpoints/best_eval_success_once__BIMANUAL_JAN30.pt,background_texture,DualArmLiftTray-v1,pd_joint_pos,False,100,500,placeholder,-1.0,-1.0
checkpoints/best_eval_success_once__BIMANUAL_JAN30.pt,ro_size,DualArmLiftTray-v1,pd_joint_pos,False,100,500,results,0.0,0.0
